movement,initial_infection,repeat_ID,tick,infected,susceptible,immune,population,num_dead
Restricted Movement,5,1,0,5,666,0,671,0
Restricted Movement,5,1,1,7,664,0,671,0
Restricted Movement,5,1,2,7,662,2,671,0
Restricted Movement,5,1,3,8,661,2,671,0
Restricted Movement,5,1,4,9,657,5,671,0
Restricted Movement,5,1,5,7,655,9,671,0
Restricted Movement,5,1,6,8,653,10,671,0
Restricted Movement,5,1,7,10,651,10,671,0
Restricted Movement,5,1,8,8,650,13,671,0
Restricted Movement,5,1,9,6,650,14,670,1
Restricted Movement,5,1,10,5,650,15,670,1
Restricted Movement,5,1,11,6,649,15,670,1
Restricted Movement,5,1,12,5,649,16,670,1
Restricted Movement,5,1,13,4,649,17,670,1
Restricted Movement,5,1,14,3,649,18,670,1
Restricted Movement,5,1,15,3,649,18,670,1
Restricted Movement,5,1,16,3,647,19,669,2
Restricted Movement,5,1,17,4,645,20,669,2
Restricted Movement,5,1,18,5,643,21,669,2
Restricted Movement,5,1,19,5,642,22,669,2
Restricted Movement,5,1,20,4,642,23,669,2
Restricted Movement,5,1,21,4,642,23,669,2
Restricted Movement,5,1,22,4,642,23,669,2
Restricted Movement,5,1,23,2,641,26,669,2
Restricted Movement,5,1,24,1,641,27,669,2
Restricted Movement,5,1,25,0,641,28,669,2
Restricted Movement,10,1,0,10,661,0,671,0
Restricted Movement,10,1,1,16,654,1,671,0
Restricted Movement,10,1,2,20,645,6,671,0
Restricted Movement,10,1,3,17,643,11,671,0
Restricted Movement,10,1,4,18,635,18,671,0
Restricted Movement,10,1,5,18,630,23,671,0
Restricted Movement,10,1,6,22,625,24,671,0
Restricted Movement,10,1,7,20,621,30,671,0
Restricted Movement,10,1,8,16,620,35,671,0
Restricted Movement,10,1,9,16,617,38,671,0
Restricted Movement,10,1,10,14,616,41,671,0
Restricted Movement,10,1,11,14,613,44,671,0
Restricted Movement,10,1,12,16,611,44,671,0
Restricted Movement,10,1,13,15,607,49,671,0
Restricted Movement,10,1,14,15,605,51,671,0
Restricted Movement,10,1,15,15,602,54,671,0
Restricted Movement,10,1,16,15,600,56,671,0
Restricted Movement,10,1,17,15,598,58,671,0
Restricted Movement,10,1,18,13,597,61,671,0
Restricted Movement,10,1,19,9,597,65,671,0
Restricted Movement,10,1,20,8,597,66,671,0
Restricted Movement,10,1,21,6,597,68,671,0
Restricted Movement,10,1,22,6,597,68,671,0
Restricted Movement,10,1,23,6,596,69,671,0
Restricted Movement,10,1,24,5,596,70,671,0
Restricted Movement,10,1,25,5,595,71,671,0
Restricted Movement,10,1,26,7,592,72,671,0
Restricted Movement,10,1,27,5,592,74,671,0
Restricted Movement,10,1,28,5,592,74,671,0
Restricted Movement,10,1,29,5,591,75,671,0
Restricted Movement,10,1,30,4,591,76,671,0
Restricted Movement,10,1,31,4,591,76,671,0
Restricted Movement,10,1,32,4,591,76,671,0
Restricted Movement,10,1,33,3,591,77,671,0
Restricted Movement,10,1,34,3,591,77,671,0
Restricted Movement,10,1,35,2,591,78,671,0
Restricted Movement,10,1,36,0,591,80,671,0
Restricted Movement,15,1,0,15,656,0,671,0
Restricted Movement,15,1,1,27,638,6,671,0
Restricted Movement,15,1,2,28,628,15,671,0
Restricted Movement,15,1,3,32,620,19,671,0
Restricted Movement,15,1,4,32,616,23,671,0
Restricted Movement,15,1,5,32,615,24,671,0
Restricted Movement,15,1,6,33,608,29,670,1
Restricted Movement,15,1,7,36,603,31,670,1
Restricted Movement,15,1,8,36,599,35,670,1
Restricted Movement,15,1,9,38,593,39,670,1
Restricted Movement,15,1,10,31,591,48,670,1
Restricted Movement,15,1,11,28,589,53,670,1
Restricted Movement,15,1,12,29,583,58,670,1
Restricted Movement,15,1,13,23,580,67,670,1
Restricted Movement,15,1,14,22,577,71,670,1
Restricted Movement,15,1,15,21,575,74,670,1
Restricted Movement,15,1,16,19,574,77,670,1
Restricted Movement,15,1,17,18,572,79,669,2
Restricted Movement,15,1,18,22,566,81,669,2
Restricted Movement,15,1,19,19,563,87,669,2
Restricted Movement,15,1,20,19,559,91,669,2
Restricted Movement,15,1,21,19,556,94,669,2
Restricted Movement,15,1,22,18,554,97,669,2
Restricted Movement,15,1,23,22,548,99,669,2
Restricted Movement,15,1,24,23,543,103,669,2
Restricted Movement,15,1,25,22,539,108,669,2
Restricted Movement,15,1,26,22,537,110,669,2
Restricted Movement,15,1,27,26,533,110,669,2
Restricted Movement,15,1,28,28,527,114,669,2
Restricted Movement,15,1,29,27,526,116,669,2
Restricted Movement,15,1,30,27,523,119,669,2
Restricted Movement,15,1,31,25,521,123,669,2
Restricted Movement,15,1,32,18,521,130,669,2
Restricted Movement,15,1,33,13,521,135,669,2
Restricted Movement,15,1,34,12,520,137,669,2
Restricted Movement,15,1,35,16,516,137,669,2
Restricted Movement,15,1,36,15,512,142,669,2
Restricted Movement,15,1,37,14,510,145,669,2
Restricted Movement,15,1,38,15,509,145,669,2
Restricted Movement,15,1,39,16,507,146,669,2
Restricted Movement,15,1,40,15,505,149,669,2
Restricted Movement,15,1,41,17,501,151,669,2
